Type;Identification;Field;Locale;Market;Status;Default content;Translated content 
PRODUCT;'15490184151389;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490184151389;handle;fi;;;j265m-size-m; 
PRODUCT;'15490184151389;product_type;fi;;;Apparel; 
PRODUCT;'15490184511837;title;fi;;;Authentic Hoodie - L; 
PRODUCT;'15490184511837;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490184511837;handle;fi;;;j265m-size-l; 
PRODUCT;'15490184511837;product_type;fi;;;Apparel; 
PRODUCT;'15490184970589;title;fi;;;Authentic Hoodie - XL; 
PRODUCT;'15490184970589;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490184970589;handle;fi;;;j265m-size-xl; 
PRODUCT;'15490184970589;product_type;fi;;;Apparel; 
PRODUCT;'15490185232733;title;fi;;;Authentic Hoodie - XXL; 
PRODUCT;'15490185232733;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490185232733;handle;fi;;;j265m-size-xxl; 
PRODUCT;'15490185232733;product_type;fi;;;Apparel; 
PRODUCT;'15490185527645;title;fi;;;Authentic Hoodie - 3XL; 
PRODUCT;'15490185527645;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490185527645;handle;fi;;;j265m-size-3xl; 
PRODUCT;'15490185527645;product_type;fi;;;Apparel; 
PRODUCT;'15490185888093;title;fi;;;Authentic Hoodie - 4XL; 
PRODUCT;'15490185888093;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490185888093;handle;fi;;;j265m-size-4xl; 
PRODUCT;'15490185888093;product_type;fi;;;Apparel; 
PRODUCT;'15490186117469;title;fi;;;Authentic Hoodie - 5XL; 
PRODUCT;'15490186117469;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490186117469;handle;fi;;;j265m-size-5xl; 
PRODUCT;'15490186117469;product_type;fi;;;Apparel; 
PRODUCT;'15490248016221;title;fi;;;Ladies Authentic Zipped Hoodie; 
PRODUCT;'15490248016221;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490248016221;handle;fi;;;j266f; 
PRODUCT;'15490248016221;product_type;fi;;;Apparel; 
PRODUCT;'15490256306525;title;fi;;;Authentic Zipped Hoodie; 
PRODUCT;'15490256306525;body_html;fi;;;"• Contemporary fit &amp; modern design
PRODUCT;'15490256306525;handle;fi;;;j266m; 
PRODUCT;'15490256306525;product_type;fi;;;Apparel; 
PRODUCT;'15490264007005;title;fi;;;Authentic Cuffed Jog Pants; 
PRODUCT;'15490264007005;body_html;fi;;;"Premium Authentic Jog Pants completes your leisure look with its contemporary fit and modern design.
PRODUCT;'15490264007005;handle;fi;;;j268m; 
PRODUCT;'15490264007005;product_type;fi;;;Apparel; 
PRODUCT;'15490269118813;title;fi;;;Authentic Quarter Zip College; 
PRODUCT;'15490269118813;body_html;fi;;;"Our premium Authentic 1/4 Zip Sweat with its contemporary fit and modern design is the perfect addition to our existing high-quality Authentic range.
PRODUCT;'15490269118813;handle;fi;;;j270m; 
PRODUCT;'15490269118813;product_type;fi;;;Apparel; 
PRODUCT;'15490271936861;title;fi;;;Ladies Stretch Polo; 
PRODUCT;'15490271936861;body_html;fi;;;"• Material: 95 % cotton, 5 % Lycra
PRODUCT;'15490271936861;handle;fi;;;j566f; 
PRODUCT;'15490271936861;product_type;fi;;;Apparel; 
PRODUCT;'15490273116509;title;fi;;;Men's Stretch Polo; 
PRODUCT;'15490273116509;body_html;fi;;;"• Material: 95 % cotton, 5 % Lycra
PRODUCT;'15490273116509;handle;fi;;;j566m; 
PRODUCT;'15490273116509;product_type;fi;;;Apparel; 
PRODUCT;'15490276524381;title;fi;;;Kids Cool T-shirt; 
PRODUCT;'15490276524381;body_html;fi;;;"• Material: 100% polyester
PRODUCT;'15490276524381;handle;fi;;;jc001j; 
PRODUCT;'15490276524381;product_type;fi;;;Kids; 
PRODUCT;'15490284454237;title;fi;;;Longsleeve Cool T; 
PRODUCT;'15490284454237;body_html;fi;;;"• Material: 100% polyester
PRODUCT;'15490284454237;handle;fi;;;jc002; 
PRODUCT;'15490284454237;product_type;fi;;;Technical t-shirts; 
PRODUCT;'15490288648541;title;fi;;;Girlie Cool T-shirt; 
PRODUCT;'15490288648541;body_html;fi;;;"• Material: 100% polyester
PRODUCT;'15490288648541;handle;fi;;;jc005; 
PRODUCT;'15490288648541;product_type;fi;;;Sport- and teamwear; 
PRODUCT;'15490296480093;title;fi;;;Cool Racerback T; 
PRODUCT;'15490296480093;body_html;fi;;;"• Material: 100 % polyester
PRODUCT;'15490296480093;handle;fi;;;jc007; 
PRODUCT;'15490296480093;product_type;fi;;;Apparel; 
PRODUCT;'15490297856349;title;fi;;;Women's Long Sleeve Cool T; 
PRODUCT;'15490297856349;body_html;fi;;;"<p>This set in long sleeve design provides breathability thanks to the Neoteric™ fabric used. With a girlie fit for a flattering, feminine look this top is a great option for making training on colder days that little bit easier. • 100 % Polyester • Fabric Weight: 140 gsm</p>
PRODUCT;'15490297856349;handle;fi;;;jc012; 
PRODUCT;'15490297856349;product_type;fi;;;Sport- and teamwear; 
PRODUCT;'15490299887965;title;fi;;;Girlie Cool Racer Back Vest; 
PRODUCT;'15490299887965;body_html;fi;;;"• 100 % polyester
PRODUCT;'15490299887965;handle;fi;;;jc015; 
PRODUCT;'15490299887965;product_type;fi;;;Technical t-shirts; 
PRODUCT;'15490300346717;title;fi;;;Girlie Athletic Leggings; 
PRODUCT;'15490300346717;body_html;fi;;;"• Material: 87% polyester, 13% spandex
PRODUCT;'15490300346717;handle;fi;;;jc087; 
PRODUCT;'15490300346717;product_type;fi;;;Apparel; 
PRODUCT;'15490301886813;title;fi;;;College Hoodie - XS; 
PRODUCT;'15490301886813;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490301886813;handle;fi;;;jh001-size-xs; 
PRODUCT;'15490301886813;product_type;fi;;;Apparel; 
PRODUCT;'15490302083421;title;fi;;;College Hoodie - S; 
PRODUCT;'15490302083421;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490302083421;handle;fi;;;jh001-size-s; 
PRODUCT;'15490302083421;product_type;fi;;;Apparel; 
PRODUCT;'15490302247261;title;fi;;;College Hoodie - M; 
PRODUCT;'15490302247261;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490302247261;handle;fi;;;jh001-size-m; 
PRODUCT;'15490302247261;product_type;fi;;;Apparel; 
PRODUCT;'15490302542173;title;fi;;;College Hoodie - L; 
PRODUCT;'15490302542173;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490302542173;handle;fi;;;jh001-size-l; 
PRODUCT;'15490302542173;product_type;fi;;;Apparel; 
PRODUCT;'15490302804317;title;fi;;;College Hoodie - XL; 
PRODUCT;'15490302804317;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490302804317;handle;fi;;;jh001-size-xl; 
PRODUCT;'15490302804317;product_type;fi;;;Apparel; 
PRODUCT;'15490303164765;title;fi;;;College Hoodie - XXL; 
PRODUCT;'15490303164765;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490303164765;handle;fi;;;jh001-size-xxl; 
PRODUCT;'15490303164765;product_type;fi;;;Apparel; 
PRODUCT;'15490303721821;title;fi;;;College Hoodie - 3XL; 
PRODUCT;'15490303721821;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490303721821;handle;fi;;;jh001-size-3xl; 
PRODUCT;'15490303721821;product_type;fi;;;Apparel; 
PRODUCT;'15490303983965;title;fi;;;College Hoodie - 4XL; 
PRODUCT;'15490303983965;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490303983965;handle;fi;;;jh001-size-4xl; 
PRODUCT;'15490303983965;product_type;fi;;;Apparel; 
PRODUCT;'15490304115037;title;fi;;;College Hoodie - 5XL; 
PRODUCT;'15490304115037;body_html;fi;;;"• Material: 80% Ringspun Cotton 20% Polyester
PRODUCT;'15490304115037;handle;fi;;;jh001-size-5xl; 
PRODUCT;'15490304115037;product_type;fi;;;Apparel; 
PRODUCT;'15490458911069;title;fi;;;Ladies Hoodie Dress; 
PRODUCT;'15490458911069;body_html;fi;;;"• Material: 80% Ringspun Cotton, 20% Polyester
PRODUCT;'15490458911069;handle;fi;;;jh015; 
PRODUCT;'15490458911069;product_type;fi;;;Apparel; 
PRODUCT;'15490467889501;title;fi;;;Varsity Jacket; 
PRODUCT;'15490467889501;body_html;fi;;;"• 80% cotton, 20% polyester
PRODUCT;'15490467889501;handle;fi;;;jh043; 
PRODUCT;'15490467889501;product_type;fi;;;Apparel; 
PRODUCT;'15490480734557;title;fi;;;Knitted Tracksuit Top; 
PRODUCT;'15490480734557;body_html;fi;;;"• Material: 95% polyester, 5% elastane
PRODUCT;'15490480734557;handle;fi;;;lv871; 
PRODUCT;'15490480734557;product_type;fi;;;Apparel; 
PRODUCT;'15490488205661;title;fi;;;Knitted Tracksuit Pants; 
PRODUCT;'15490488205661;body_html;fi;;;"• Material: 95% polyester 5% elastane
PRODUCT;'15490488205661;handle;fi;;;lv881; 
PRODUCT;'15490488205661;product_type;fi;;;Apparel; 
PRODUCT;'15490493808989;title;fi;;;Ladies Team Legging; 
PRODUCT;'15490493808989;body_html;fi;;;"High-waisted legging are perfect for everyday wear.
PRODUCT;'15490493808989;handle;fi;;;lv896; 
PRODUCT;'15490493808989;product_type;fi;;;Apparel; 
PRODUCT;'15490495906141;title;fi;;;Organic Bodysuit; 
PRODUCT;'15490495906141;body_html;fi;;;"• Material: 100% orgaanic cotton
PRODUCT;'15490495906141;handle;fi;;;lw655; 
PRODUCT;'15490495906141;product_type;fi;;;Apparel; 
PRODUCT;'15490498822493;title;fi;;;Essential Chef's Cargo Pocket Trousers; 
PRODUCT;'15490498822493;body_html;fi;;;"These chef's trousers are designed with classic cargo style pockets on both legs that fasten down with hook-and-loop self-adhesive strips. The waistband is elasticated for comfort with a draw cord for adjustment. Single rear patch pocket with hook and loop strip fastening.
PRODUCT;'15490498822493;handle;fi;;;pr555; 
PRODUCT;'15490498822493;product_type;fi;;;Apparel; 
PRODUCT;'15490502328669;title;fi;;;Artisan Chef's Jogging Trousers; 
PRODUCT;'15490502328669;body_html;fi;;;"A super comfy pair of chef’s jogging trousers with a classic cuffed ankle. Easy pull-on style with an elasticated waist and draw cord for adjustment. Features a stitched faux fly and swing pockets. To the back there are two handy patch pockets. A cotton-rich knit achieves a very soft and comfortable trouser for chef's teams.
PRODUCT;'15490502328669;handle;fi;;;pr556; 
PRODUCT;'15490502328669;product_type;fi;;;Apparel; 
PRODUCT;'15490504294749;title;fi;;;Coolchecker Polo; 
PRODUCT;'15490504294749;body_html;fi;;;"• Material: 100% polyester
PRODUCT;'15490504294749;handle;fi;;;pr615; 
PRODUCT;'15490504294749;product_type;fi;;;Apparel; 
PRODUCT;'15490510586205;title;fi;;;Ladies Coolchecker Polo; 
PRODUCT;'15490510586205;body_html;fi;;;"• Material: 100% polyester
PRODUCT;'15490510586205;handle;fi;;;pr616; 
PRODUCT;'15490510586205;product_type;fi;;;Apparel; 
PRODUCT;'15490512093533;title;fi;;;Safe-guard Recycled Safety T-shirt; 
PRODUCT;'15490512093533;body_html;fi;;;"Cool and breathable, an eye-catching and comfortable, safety T-shirt in soft mesh recycled fabric with Hi Tech Stretch.
PRODUCT;'15490512093533;handle;fi;;;r502; 
PRODUCT;'15490512093533;product_type;fi;;;Workwear; 
PRODUCT;'15490514616669;title;fi;;;Kansas Flex Cap; 
PRODUCT;'15490514616669;body_html;fi;;;"<p>• 260g/m² 98% Cotton, 2% Elastane • 6 panel • Stiffened front panels • Pre-curved peak with 6 stitch lines • Stitched eyelets • Stud button • Elasticised FLEX CORE sweatband • Tear away label • Recycled PU peak • One size- easy fit sweatband • Suitable for embroidery</p>
PRODUCT;'15490514616669;handle;fi;;;rc85; 
PRODUCT;'15490514616669;product_type;fi;;;Apparel; 
PRODUCT;'15490517827933;title;fi;;;Performance Aircool Tee; 
PRODUCT;'15490517827933;body_html;fi;;;"• Material: 100% Polyester eye bird mesh
PRODUCT;'15490517827933;handle;fi;;;s287; 
PRODUCT;'15490517827933;product_type;fi;;;Apparel; 
PRODUCT;'15490527658333;title;fi;;;Basic Tee; 
PRODUCT;'15490527658333;body_html;fi;;;"One of the best promotion T-shirts, now with an improved fit. Made of long fiber cotton. Ideal for printing.
PRODUCT;'15490527658333;handle;fi;;;t1000; 
PRODUCT;'15490527658333;product_type;fi;;;Apparel; 
PRODUCT;'15490533327197;title;fi;;;Power Tee; 
PRODUCT;'15490533327197;body_html;fi;;;"One of the best promotional T-shirts in single jersey 140 gsm organic cotton in its cost effective pricerange. A wide range of sizes also makes the Power Tee an excellent choice for your next Powerfull direct marketing action. It has a tubular body and a tear away label.
PRODUCT;'15490533327197;handle;fi;;;t1100; 
PRODUCT;'15490533327197;product_type;fi;;;Apparel; 
PRODUCT;'15490540044637;title;fi;;;Heavy Polo; 
PRODUCT;'15490540044637;body_html;fi;;;"This is one of bestselling classics. The firm and crisp fabric and the slightly slimmer fit and sleeve shape make this polo great for casual or promotional wear. You can proudly add your logo to this high-quality shirt.
PRODUCT;'15490540044637;handle;fi;;;t1400; 
PRODUCT;'15490540044637;product_type;fi;;;Apparel; 
PRODUCT;'15490543780189;title;fi;;;Ladies Heavy Polo; 
PRODUCT;'15490543780189;body_html;fi;;;"This is one of bestselling classics. The firm and crisp fabric and the slightly slimmer fit and sleeve shape make this polo great for casual or promotional wear. You can proudly add your logo to this high-quality shirt.
PRODUCT;'15490543780189;handle;fi;;;t1401; 
PRODUCT;'15490543780189;product_type;fi;;;Apparel; 
PRODUCT;'15490544304477;title;fi;;;Luxury Stretch Polo - S; 
PRODUCT;'15490544304477;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490544304477;handle;fi;;;t1405-size-s; 
PRODUCT;'15490544304477;product_type;fi;;;Apparel; 
PRODUCT;'15490544664925;title;fi;;;Luxury Stretch Polo - M; 
PRODUCT;'15490544664925;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490544664925;handle;fi;;;t1405-size-m; 
PRODUCT;'15490544664925;product_type;fi;;;Apparel; 
PRODUCT;'15490544894301;title;fi;;;Luxury Stretch Polo - L; 
PRODUCT;'15490544894301;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490544894301;handle;fi;;;t1405-size-l; 
PRODUCT;'15490544894301;product_type;fi;;;Apparel; 
PRODUCT;'15490545320285;title;fi;;;Luxury Stretch Polo - XL; 
PRODUCT;'15490545320285;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490545320285;handle;fi;;;t1405-size-xl; 
PRODUCT;'15490545320285;product_type;fi;;;Apparel; 
PRODUCT;'15490545746269;title;fi;;;Luxury Stretch Polo - XXL; 
PRODUCT;'15490545746269;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490545746269;handle;fi;;;t1405-size-xxl; 
PRODUCT;'15490545746269;product_type;fi;;;Apparel; 
PRODUCT;'15490546139485;title;fi;;;Luxury Stretch Polo - 3XL; 
PRODUCT;'15490546139485;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490546139485;handle;fi;;;t1405-size-3xl; 
PRODUCT;'15490546139485;product_type;fi;;;Apparel; 
PRODUCT;'15490546434397;title;fi;;;Luxury Stretch Polo - 4XL; 
PRODUCT;'15490546434397;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490546434397;handle;fi;;;t1405-size-4xl; 
PRODUCT;'15490546434397;product_type;fi;;;Apparel; 
PRODUCT;'15490546794845;title;fi;;;Luxury Stretch Polo - 5XL; 
PRODUCT;'15490546794845;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490546794845;handle;fi;;;t1405-size-5xl; 
PRODUCT;'15490546794845;product_type;fi;;;Apparel; 
PRODUCT;'15490597093725;title;fi;;;Luxury Long Sleeve Polo; 
PRODUCT;'15490597093725;body_html;fi;;;"• Material: 95 % ringspun cotton, 5 % elastane
PRODUCT;'15490597093725;handle;fi;;;t1406; 
PRODUCT;'15490597093725;product_type;fi;;;Long sleeve polos; 
PRODUCT;'15490599485789;title;fi;;;Ladies Luxury Stretch Polo; 
PRODUCT;'15490599485789;body_html;fi;;;"The ultimate polo shirt. This cotton/elastane fabric ensures the best comfort and fitting. The tailored
PRODUCT;'15490599485789;handle;fi;;;t145; 
PRODUCT;'15490599485789;product_type;fi;;;Apparel; 
PRODUCT;'15490609119581;title;fi;;;Ladies Luxury Long Sleeve Polo; 
PRODUCT;'15490609119581;body_html;fi;;;"• Material: 95 % ringspun cotton, 5 % elastane
PRODUCT;'15490609119581;handle;fi;;;t146; 
PRODUCT;'15490609119581;product_type;fi;;;Long sleeve polos; 
PRODUCT;'15490611839325;title;fi;;;Ladies Stretch Tee; 
PRODUCT;'15490611839325;body_html;fi;;;"The perfect stretch ladies tee in 90% cotton and 10% elastane. Full feeder elastane for smoother fabric. Ideal for casual wear or any ladies uniform.
PRODUCT;'15490611839325;handle;fi;;;t450; 
PRODUCT;'15490611839325;product_type;fi;;;Apparel; 
PRODUCT;'15490614886749;title;fi;;;Ladies 3/4 Sleeve Stretch Tee; 
PRODUCT;'15490614886749;body_html;fi;;;"The perfect stretch ladies tee in 90% cotton and 10% elastane. Full feeder elastane for smoother fabric. Ideal for casual wear or any ladies uniform.
PRODUCT;'15490614886749;handle;fi;;;t460; 
PRODUCT;'15490614886749;product_type;fi;;;Long sleeve t-shirts; 
PRODUCT;'15490618098013;title;fi;;;Luxury Tee; 
PRODUCT;'15490618098013;body_html;fi;;;"Our Luxury Tee is, by far, the best quality single jersey T-shirt we have in our collection. The unique tailored fit, design and long fiber high quality cotton is matching the high end T-shirts you know from retail. Slightly fitted around shoulder and sleeves with loose body.
PRODUCT;'15490618098013;handle;fi;;;t5000; 
PRODUCT;'15490618098013;product_type;fi;;;Apparel; 
PRODUCT;'15490620293469;title;fi;;;Baseball Tee; 
PRODUCT;'15490620293469;body_html;fi;;;"• Material: 100% ringspun combed cotton. 
PRODUCT;'15490620293469;handle;fi;;;t5072; 
PRODUCT;'15490620293469;product_type;fi;;;Apparel; 
PRODUCT;'15490621768029;title;fi;;;Mens Interlock Tee; 
PRODUCT;'15490621768029;body_html;fi;;;"Made of ringspun longfiber 40 singles cotton to give a fine smooth fabric ideal for printing and embroidery. Body fit shaped.
PRODUCT;'15490621768029;handle;fi;;;t520; 
PRODUCT;'15490621768029;product_type;fi;;;Apparel; 
PRODUCT;'15490628714845;title;fi;;;Mens Longsleeve Interlock; 
PRODUCT;'15490628714845;body_html;fi;;;"Made of ringspun longfiber 40 singles cotton to give a fine smooth fabric ideal for printing and embroidery. Body fit shaped.
PRODUCT;'15490628714845;handle;fi;;;t530; 
PRODUCT;'15490628714845;product_type;fi;;;Long sleeve t-shirts; 
PRODUCT;'15490633826653;title;fi;;;Sweat Pants; 
PRODUCT;'15490633826653;body_html;fi;;;"Casual fashion sweats with comfort fit.
PRODUCT;'15490633826653;handle;fi;;;t5425; 
PRODUCT;'15490633826653;product_type;fi;;;Jog pants; 
PRODUCT;'15490634416477;title;fi;;;Hooded Sweatshirt; 
PRODUCT;'15490634416477;body_html;fi;;;"Sweatshirts are made of long fiber egyptian cotton. 3 thread fabric gives a unique smooth and soft surface. To make colours more bright, sweatshirts are double dyed.
PRODUCT;'15490634416477;handle;fi;;;t5430; 
PRODUCT;'15490634416477;product_type;fi;;;Apparel; 
PRODUCT;'15490639429981;title;fi;;;Ladies Hooded Sweatshirt; 
PRODUCT;'15490639429981;body_html;fi;;;"Sweatshirts are made of long fiber egyptian cotton. 3 thread fabric gives a unique smooth and soft surface. To make colours more bright, sweatshirts are double dyed.
PRODUCT;'15490639429981;handle;fi;;;t5431; 
PRODUCT;'15490639429981;product_type;fi;;;Apparel; 
PRODUCT;'15490641985885;title;fi;;;Mens Full Zip Hooded Sweat; 
PRODUCT;'15490641985885;body_html;fi;;;"Sweatshirts are made of long fiber egyptian cotton. 3 thread fabric gives a unique smooth and soft surface. To make colours more bright, sweatshirts are double dyed.
PRODUCT;'15490641985885;handle;fi;;;t5435; 
PRODUCT;'15490641985885;product_type;fi;;;Apparel; 
PRODUCT;'15490648179037;title;fi;;;Ladies Full Zip Hooded Sweat; 
PRODUCT;'15490648179037;body_html;fi;;;"Sweatshirts are made of long fiber egyptian cotton. 3 thread fabric gives a unique smooth and soft surface. To make colours more bright, sweatshirts are double dyed.
PRODUCT;'15490648179037;handle;fi;;;t5436; 
PRODUCT;'15490648179037;product_type;fi;;;Apparel; 
PRODUCT;'15490653159773;title;fi;;;Ladies Interlock Tee; 
PRODUCT;'15490653159773;body_html;fi;;;"New state of the art interlock quality. The combination of unique fabric and new design makes our new interlock one of the best in the market. Made of ringspun longfiber 40 singles cotton to give a fine smooth fabric ideal for printing and embroidery.
PRODUCT;'15490653159773;handle;fi;;;t580; 
PRODUCT;'15490653159773;product_type;fi;;;Apparel; 
PRODUCT;'15490660565341;title;fi;;;Ladies Longsleeve Interlock; 
PRODUCT;'15490660565341;body_html;fi;;;"Made of ringspun longfiber 40 singles cotton to give a fine smooth fabric ideal for printing and embroidery. Body fit shaped.
PRODUCT;'15490660565341;handle;fi;;;t590; 
PRODUCT;'15490660565341;product_type;fi;;;Long sleeve t-shirts; 
PRODUCT;'15490664759645;title;fi;;;Mens Fashion Cooldry T-shirt; 
PRODUCT;'15490664759645;body_html;fi;;;"The soft breathable and lightweight fabric gives this shirt a natural feel. CoolDry fabrics moves perspiration away from the body to the fabrics outer surface, where it can evaporate quickly.
PRODUCT;'15490664759645;handle;fi;;;t7020; 
PRODUCT;'15490664759645;product_type;fi;;;Technical t-shirts; 
PRODUCT;'15490673049949;title;fi;;;Ladies Fashion Cooldry T-shirt; 
PRODUCT;'15490673049949;body_html;fi;;;"The soft breathable and lightweight fabric gives this shirt a natural feel. CoolDry fabrics moves perspiration away from the body to the fabrics outer surface, where it can evaporate quickly.
PRODUCT;'15490673049949;handle;fi;;;t7021; 
PRODUCT;'15490673049949;product_type;fi;;;Technical t-shirts; 
PRODUCT;'15490682847581;title;fi;;;Long Sleeve Cooldry Tee; 
PRODUCT;'15490682847581;body_html;fi;;;"This Long Sleeve CoolDry Tee with flat lock seams ensures the best comfort. The tee is tailored fit with added stretch for better movement. It is moisture-wicking, quick-drying and easy to wash and care.
PRODUCT;'15490682847581;handle;fi;;;t7022; 
PRODUCT;'15490682847581;product_type;fi;;;Long sleeve t-shirts; 
PRODUCT;'15490686583133;title;fi;;;Sof Tee T; 
PRODUCT;'15490686583133;body_html;fi;;;"One of the best heavyweight T-shirts. Made of ringspun longfiber cotton to give a fine smooth fabric. Ideal for printing and embroidery.
PRODUCT;'15490686583133;handle;fi;;;t8000; 
PRODUCT;'15490686583133;product_type;fi;;;Apparel; 
PRODUCT;'15490694349149;title;fi;;;Mens Fashion Sof Tee; 
PRODUCT;'15490694349149;body_html;fi;;;"Made of ringspun longfiber cotton to give a fine smooth fabric ideal for printing and embroidery.
PRODUCT;'15490694349149;handle;fi;;;t8005; 
PRODUCT;'15490694349149;product_type;fi;;;Apparel; 
PRODUCT;'15490697036125;title;fi;;;Long Sleeve Fashion Sof Tee; 
PRODUCT;'15490697036125;body_html;fi;;;"• Material: 100% ringspun combed cotton
PRODUCT;'15490697036125;handle;fi;;;t8007; 
PRODUCT;'15490697036125;product_type;fi;;;Apparel; 
PRODUCT;'15490699821405;title;fi;;;Ladies Fashion Sof-tee; 
PRODUCT;'15490699821405;body_html;fi;;;"Made of ringspun longfiber cotton to give a fine smooth fabric ideal for printing and embroidery.
PRODUCT;'15490699821405;handle;fi;;;t8050; 
PRODUCT;'15490699821405;product_type;fi;;;Apparel; 
PRODUCT;'15490704245085;title;fi;;;Ladies Authentic Tee Pure Organic; 
PRODUCT;'15490704245085;body_html;fi;;;"High-quality, timelessly modern and sustainable. The AuthenticT Pure Organic sets new standards in terms of quality, fit and printability. A refined basic for every look.
PRODUCT;'15490704245085;handle;fi;;;j108f; 
PRODUCT;'15490704245085;product_type;fi;;;Apparel; 
PRODUCT;'15490707456349;title;fi;;;Authentic Tee Pure Organic; 
PRODUCT;'15490707456349;body_html;fi;;;"High-quality, timelessly modern and sustainable. The AuthenticT Pure Organic sets new standards in terms of quality, fit and printability. A refined basic for every look.
PRODUCT;'15490707456349;handle;fi;;;j108m; 
PRODUCT;'15490707456349;product_type;fi;;;Apparel; 
PRODUCT;'15490711519581;title;fi;;;Pima Pikee | Poistuva Väri; 
PRODUCT;'15490711519581;body_html;fi;;;"• Materiaali: 100 % rengaskehrättyä Pima -puuvillaa
PRODUCT;'15490711519581;handle;fi;;;poisto-t1440; 
PRODUCT;'15490711519581;product_type;fi;;;Apparel; 
PRODUCT;'15490711912797;title;fi;;;Naisten Luxury Stretch Pikee; 
PRODUCT;'15490711912797;body_html;fi;;;"Tyylikäs puuvilla-elastaanipikee jokapäiväiseen käyttöön. Joustava materiaali takaa parhaan käyttömukavuuden ja istuvuuden. Tiheä minipikeekangas ja litteä Lycra®-kaulus tekevät paidasta ainutlaatuisen.
PRODUCT;'15490711912797;handle;fi;;;poisto-t145; 
PRODUCT;'15490711912797;product_type;fi;;;Outlet - discontinued items; 
PRODUCT;'15490714992989;title;fi;;;Interlock Tee; 
PRODUCT;'15490714992989;body_html;fi;;;"Pehmeä, ylellisen tuntuinen interlock T-paita. Valmistettu rengaskehrätystä pitkäkuituisesta puuvillasta, joka tekee kankaasta sileäpintaisen. Ihanteellinen painatukseen ja brodeeraukseen.
PRODUCT;'15490714992989;handle;fi;;;poisto-t520; 
PRODUCT;'15490714992989;product_type;fi;;;Outlet - discontinued items; 
PRODUCT;'15490716336477;title;fi;;;Naisten Interlock Tee; 
PRODUCT;'15490716336477;body_html;fi;;;"Ainutlaatuisen kankaan ja uuden designin yhdistelmä tekee interlockista yhden parhaista tuotteista markkinoilla. 
PRODUCT;'15490716336477;handle;fi;;;poisto-t580; 
PRODUCT;'15490716336477;product_type;fi;;;Outlet - discontinued items; 
PRODUCT;'15490717155677;title;fi;;;Ladies Stretch Tee Extra Long; 
PRODUCT;'15490717155677;body_html;fi;;;"Designed for the perfect tight fit with extra length. The fine ligthweight stretch fabric gives great comfort.
PRODUCT;'15490717155677;handle;fi;;;t455; 
PRODUCT;'15490717155677;product_type;fi;;;V-neck; 
PRODUCT;'15490717811037;title;fi;;;Ladies Luxury Tee; 
